학교명,학년,대분류,교과군,과목명,기준시수,편성시수,증감시수
공항중학교,1학년,A. 교 과 (군),국어,국어,442.0,391,-51.0
공항중학교,1학년,A. 교 과 (군),사회/도덕,사회,170.0,153,-17.0
공항중학교,1학년,A. 교 과 (군),사회/도덕,역사,170.0,170,0.0
공항중학교,1학년,A. 교 과 (군),사회/도덕,도덕,170.0,170,0.0
공항중학교,1학년,A. 교 과 (군),수학,수학,374.0,357,-17.0
공항중학교,1학년,A. 교 과 (군),과학/ 기술·가정/정보,과학,374.0,357,-17.0
공항중학교,1학년,A. 교 과 (군),과학/ 기술·가정/정보,기술·가정,272.0,238,-34.0
공항중학교,1학년,A. 교 과 (군),과학/ 기술·가정/정보,정보,34.0,102,68.0
공항중학교,1학년,A. 교 과 (군),체육,체육,272.0,306,34.0
공항중학교,1학년,A. 교 과 (군),예술,음악,136.0,136,0.0
공항중학교,1학년,A. 교 과 (군),예술,미술,136.0,136,0.0
공항중학교,1학년,A. 교 과 (군),영어,영어,340.0,323,-17.0
공항중학교,1학년,1,선택,한문,170.0,68,0.0
공항중학교,1학년,1,선택,환경,,0,
공항중학교,1학년,1,선택,중국어,,0,
공항중학교,1학년,1,선택,일본어,,68,
공항중학교,1학년,1,선택,보건,,0,
공항중학교,1학년,1,선택,진로와 직업,,34,
공항중학교,1학년,1,선택,기타,,0,
공항중학교,1학년,1,선택,선택(교양),,0,
공항중학교,1학년,B. 창의적 체험활동,동아리 활동,동아리 활동,,102,
공항중학교,1학년,B. 창의적 체험활동,동아리 활동,학교스포츠클럽 활동,,102,
공항중학교,1학년,D.,정보,문제해결과 프로그래밍,33.0,34,1.0
공항중학교,2학년,A. 교 과 (군),국어,국어,442.0,391,-51.0
공항중학교,2학년,A. 교 과 (군),사회/도덕,사회,170.0,153,-17.0
공항중학교,2학년,A. 교 과 (군),사회/도덕,역사,170.0,170,0.0
공항중학교,2학년,A. 교 과 (군),사회/도덕,도덕,170.0,170,0.0
공항중학교,2학년,A. 교 과 (군),수학,수학,374.0,357,-17.0
공항중학교,2학년,A. 교 과 (군),과학/ 기술·가정/정보,과학,374.0,357,-17.0
공항중학교,2학년,A. 교 과 (군),과학/ 기술·가정/정보,기술·가정,272.0,238,-34.0
공항중학교,2학년,A. 교 과 (군),과학/ 기술·가정/정보,정보,34.0,102,68.0
공항중학교,2학년,A. 교 과 (군),체육,체육,272.0,306,34.0
공항중학교,2학년,A. 교 과 (군),예술,음악,136.0,136,0.0
공항중학교,2학년,A. 교 과 (군),예술,미술,136.0,136,0.0
공항중학교,2학년,A. 교 과 (군),영어,영어,340.0,323,-17.0
공항중학교,2학년,1,선택,한문,170.0,68,0.0
공항중학교,2학년,1,선택,환경,,0,
공항중학교,2학년,1,선택,중국어,,0,
공항중학교,2학년,1,선택,일본어,,68,
공항중학교,2학년,1,선택,보건,,0,
공항중학교,2학년,1,선택,진로와 직업,,34,
공항중학교,2학년,1,선택,기타,,0,
공항중학교,2학년,1,선택,선택(교양),,0,
공항중학교,2학년,B. 창의적 체험활동,동아리 활동,동아리 활동,,102,
공항중학교,2학년,B. 창의적 체험활동,동아리 활동,학교스포츠클럽 활동,,102,
공항중학교,2학년,D.,정보,문제해결과 프로그래밍,33.0,34,1.0
공항중학교,3학년,A. 교 과 (군),국어,국어,442.0,391,-51.0
공항중학교,3학년,A. 교 과 (군),사회/도덕,사회,170.0,153,-17.0
공항중학교,3학년,A. 교 과 (군),사회/도덕,역사,170.0,170,0.0
공항중학교,3학년,A. 교 과 (군),사회/도덕,도덕,170.0,170,0.0
공항중학교,3학년,A. 교 과 (군),수학,수학,374.0,357,-17.0
공항중학교,3학년,A. 교 과 (군),과학/ 기술·가정/정보,과학,374.0,357,-17.0
공항중학교,3학년,A. 교 과 (군),과학/ 기술·가정/정보,기술·가정,272.0,238,-34.0
공항중학교,3학년,A. 교 과 (군),과학/ 기술·가정/정보,정보,34.0,102,68.0
공항중학교,3학년,A. 교 과 (군),체육,체육,272.0,306,34.0
공항중학교,3학년,A. 교 과 (군),예술,음악,136.0,136,0.0
공항중학교,3학년,A. 교 과 (군),예술,미술,136.0,136,0.0
공항중학교,3학년,A. 교 과 (군),영어,영어,340.0,323,-17.0
공항중학교,3학년,1,선택,한문,170.0,68,0.0
공항중학교,3학년,1,선택,환경,,0,
공항중학교,3학년,1,선택,중국어,,0,
